campaign_id,country,state,district,start_date,end_date,vaccine_name,target_population,doses_allocated,doses_administered,partner_org,notes
VAC-IND-00027,India,Maharashtra, NASHIK,2024-03-31,2024-05-02,Influenza,all_adults,60162,55287,IAP,Door-to-door drive
VAC-IND-00028,India,Tamil Nadu,Madurai,2025-11-09,2026-01-04,Influenza,healthcare_workers,7735,3686,,
VAC-IND-00029,India,Uttar Pradesh,Agra,2025-11-13,2026-01-12,COVID-19,healthcare_workers,67273,42031,,
VAC-IND-00030,India,Kerala,Kozhikode,2024-10-04,2024-10-14,MMR,all_adults,79227,69373,Local Health Dept,
VAC-IND-00031,India,West Bengal,Darjeeling,2024-09-08,2024-11-03,Hepatitis B,healthcare_workers,75712,66637,IAP,
VAC-IND-00032,India,Rajasthan,Bikaner,2023-12-14,2024-01-04, TYPHOID,elderly_60+,166421,57764,Local Health Dept,
VAC-IND-00033,India, MAHARASHTRA,Pune,2025-08-31,2025-10-22,Influenza,school_children_5-15,109143,97282,Private Clinic,
VAC-IND-00034,India,Odisha,Bhubaneswar,07-08-2023,2023-08-24,Hepatitis B,elderly_60+,182929,49749,UNICEF,
VAC-IND-00035,India,Rajasthan,Alwar,2024-10-11 14:39:52,2024-11-29, DTP,elderly_60+,112367,94283,State Govt,Hospital-based
VAC-IND-00036,India,Tamil Nadu,Salem,2025-09-19,2025-10-09,MMR,pregnant_women,187551,108738,,
VAC-IND-00037,India,Odisha,Cuttack,2024-03-14,2024-04-12,Typhoid,all_adults,122639,51637,Private Clinic,Mass camp at community centre
VAC-IND-00038,India,Assam,Jorhat,2025-09-03,2025-09-28,Hepatitis B,school_children_5-15,102732,75467,,
VAC-IND-00039,India,Tamil Nadu,Tiruchirappalli,2025-09-21,2025-10-15,Influenza,healthcare_workers,106489,82558,,Single-day mega camp
VAC-IND-00040,India,Bihar,Patna,2023-06-21,2023-07-02,MMR,elderly_60+,48139,34471,State Govt,
VAC-IND-00041,India,West Bengal,Howrah,2023-06-17,2023-08-06,Typhoid,school_children_5-15,92240,27441,WHO,
VAC-IND-00042,India,Maharashtra,Thane,2023-11-09,2023-12-12,Polio,pregnant_women,148341,90620,IAP,Door-to-door drive
VAC-IND-00043,India,Delhi,North Delhi,2023-08-10,2023-09-01,COVID-19,healthcare_workers,98884,45771,,Cold chain maintained
VAC-IND-00044,India,Assam,Guwahati,2023-03-26,2023-04-25,COVID-19,all_adults,18576,9305,,Reported delay due to rains
VAC-IND-00045,India,Gujarat,Surat,2025-06-10,16/07/2025,Hepatitis B,all_adults,71300,74528,State Govt,
VAC-IND-00046,India,Karnataka,Bengaluru,25-07-2024,2024-08-12,MMR,children_0-5,149882,79650,State Govt,
VAC-IND-00047,India,Uttar Pradesh,Varanasi,2024-11-28,2025-01-08,Influenza,children_0-5,72922,48441,NHM,
VAC-IND-00048,India, KARNATAKA, HUBLI,2025-10-02,2025-10-06,MMR,school_children_5-15,58590,27663,IAP,
VAC-IND-00049,India,Odisha,Sambalpur,2024-11-08,2024-12-10,Influenza,pregnant_women,66403,60550,UNICEF,
VAC-IND-00050,India,Odisha,Puri,20-07-2024,2024-09-09,Influenza,pregnant_women,74686,69504,NHM,
VAC-IND-00051,India,Rajasthan,Jodhpur,2024-07-15,2024-07-21,COVID-19,children_0-5,183323,165344,Local Health Dept,
VAC-IND-00052,India,Maharashtra,Nagpur,2025-09-05,2025-09-12,Influenza,elderly_60+,19920,5740,,
VAC-IND-00053,India,West Bengal,Bardhaman,07-04-2024,2024-05-04,DTP,pregnant_women,116556,100450,WHO,Door-to-door drive
VAC-IND-00054,India,Karnataka,Mysuru,2024-06-25,2024-07-08,DTP,all_adults,145201,29390,State Govt,
VAC-IND-00055,India,Tamil Nadu,Tiruchirappalli,2023-05-26,2023-06-14,DTP,children_0-5,164355,84728,,School-based campaign
VAC-IND-00056,India,Delhi,Central Delhi,2023-05-03,2023-05-25,COVID-19,all_adults,149714,87502,Local Health Dept,Cold chain maintained
VAC-IND-00057,India,Gujarat,Rajkot,2023-06-14,2023-08-12,COVID-19,elderly_60+,84994,20388,WHO,Cold chain maintained
VAC-IND-00058,India,Delhi,East Delhi,2025-11-28,2025-12-18,DTP,children_0-5,153940,137512,State Govt,
VAC-IND-00059,India,Kerala, KOCHI,2024-11-06,2024-12-10,COVID-19,all_adults,105476,93197,UNICEF,
VAC-IND-00060,India,West Bengal,Bardhaman,2023-01-03,2023-02-09,Hepatitis B,all_adults,14709,8868,State Govt,
VAC-IND-00061,India,Delhi,North Delhi,16-06-2025,2025-07-20,Polio,elderly_60+,165656,95861,Local Health Dept,
VAC-IND-00062,India,Kerala,Kannur,2023-08-29,2023-09-10,DTP,all_adults,188353,109346,State Govt,
VAC-IND-00063,India, ASSAM,Tezpur,07-10-2023,2023-10-27,MMR,children_0-5,109274,88404,Local Health Dept,
VAC-IND-00064,India,Gujarat,Bhavnagar,2025-09-18,2025-10-26,Typhoid,elderly_60+,99383,62052,NHM,Hospital-based
VAC-IND-00065,India,West Bengal,Kolkata,13-10-2024,30/11/2024,DTP,children_0-5,100437,40023,Red Cross,Reported delay due to rains
VAC-IND-00066,India,Gujarat,Ahmedabad,2025-12-13 00:46:09,2026-01-11,MMR,healthcare_workers,40964,25560,Private Clinic,Reported delay due to rains
VAC-IND-00067,India,Rajasthan,Bikaner,2024-10-10,2024-12-08,Influenza,school_children_5-15,142324,37432,Local Health Dept,
VAC-IND-00068,India,Kerala,Thiruvananthapuram,2025-06-27,19/07/2025,MMR,pregnant_women,12556,3430,IAP,Hospital-based
VAC-IND-00069,India,Assam,Dibrugarh,2023-12-15,2024-01-26,Hepatitis B,elderly_60+,162953,163050,NHM,
VAC-IND-00070,India,Bihar,Patna,2025-08-10 21:34:10,2025-08-17,Polio,all_adults,91087,57427,Local Health Dept,
VAC-IND-00071,India,West Bengal,Siliguri,2023-08-07,2023-09-15,COVID-19,school_children_5-15,78061,54308,Private Clinic,Mass camp at community centre
VAC-IND-00072,India,Odisha,Puri,09-08-2024,2024-08-26,Hepatitis B,pregnant_women,92858,43491,Red Cross,
VAC-IND-00073,India,Gujarat, AHMEDABAD,17-01-2025,25/01/2025,Influenza,elderly_60+,86147,40250,,Reported delay due to rains
VAC-IND-00074,India,Tamil Nadu,Coimbatore,2024-06-10 15:51:18,2024-07-30,Influenza,elderly_60+,30691,8605,Private Clinic,
VAC-IND-00075,India,West Bengal,Kolkata,2024-06-25,2024-07-27,DTP,school_children_5-15,196848,192607,,
VAC-IND-00076,India,Assam,Tezpur,2024-11-02 07:41:04,2024-12-15,COVID-19,elderly_60+,184283,143888,WHO,Cold chain maintained
VAC-IND-00077,India,Kerala,Thiruvananthapuram,25-04-2024,2024-05-06,DTP,healthcare_workers,97758,90355,Red Cross,Door-to-door drive
VAC-IND-00078,India,Assam,Jorhat,2024-07-26,2024-08-21,COVID-19,school_children_5-15,117074,70951,IAP,
VAC-IND-00079,India,Tamil Nadu,Coimbatore,2023-09-08 14:05:42,2023-09-24,Typhoid,pregnant_women,157038,44665,NHM,
VAC-IND-00080,India,Rajasthan,Jodhpur,18-03-2024,2024-04-04,MMR,elderly_60+,39180,8021,Red Cross,
VAC-IND-00081,India,Maharashtra,Pune,2023-01-31,2023-03-25,MMR,children_0-5,85374,,Red Cross,Door-to-door drive
VAC-IND-00082,India,Gujarat,Rajkot,2025-01-11,2025-01-20,Polio,school_children_5-15,58577,14556,,
VAC-IND-00083,India,Gujarat,Rajkot,2025-05-23,2025-06-26,MMR,healthcare_workers,116777,33944,,Cold chain maintained
VAC-IND-00084,India,Assam,Tezpur,2024-10-27,2024-12-07,COVID-19,school_children_5-15,119438,80274,UNICEF,
VAC-IND-00085,India,Karnataka,Hubli,25-11-2024,2024-12-23,Polio,pregnant_women,25426,15325,IAP,
VAC-IND-00086,India,Kerala, THIRUVANANTHAPURAM,2025-06-03,2025-07-23,Hepatitis B,healthcare_workers,34608,26138, IAP,
VAC-IND-00087,India,Bihar,Muzaffarpur,2023-04-16 19:19:22,2023-04-25,Influenza,children_0-5,56268,42853,IAP,
VAC-IND-00088,India,Tamil Nadu,Salem,08-04-2024,2024-06-04,Hepatitis B,school_children_5-15,163481,39578,,Cold chain maintained
VAC-IND-00089,India,Tamil Nadu,Madurai,2024-12-19,2025-02-15,Polio,school_children_5-15,172818,71754,,
VAC-IND-00090,India,Gujarat, VADODARA,2023-11-19,2024-01-07,COVID-19,elderly_60+,149291,145639,Red Cross,Mass camp at community centre
VAC-IND-00091,India,Tamil Nadu,Tiruchirappalli,2025-05-18,2025-06-18,MMR,all_adults,57010,18861,UNICEF,
VAC-IND-00092,India, TAMIL NADU,Chennai,2024-03-27,2024-05-07,Typhoid,elderly_60+,54088,24660,Local Health Dept,
VAC-IND-00093,India,Odisha,Puri,2023-12-26,2024-02-01,Typhoid,pregnant_women,131640,113890,UNICEF,
VAC-IND-00094,India,Gujarat,Ahmedabad,2024-10-03,2024-11-11,DTP,children_0-5,168309,63853,IAP,
VAC-IND-00095,India,Uttar Pradesh,Lucknow,13-06-2025,2025-07-01,Typhoid,pregnant_women,105475,72968,IAP,
VAC-IND-00096,India, BIHAR,Patna,2025-12-22,2026-02-20,Influenza,children_0-5,92538,37865,Red Cross,School-based campaign
VAC-IND-00097,India,Bihar,Patna,2023-12-29 20:31:29,2024-02-18,Hepatitis B,school_children_5-15,152404,151610,IAP,
VAC-IND-00098,India,Kerala,Kannur,2025-06-24,2025-08-16, MMR,all_adults,15225,4260,,Reported delay due to rains
VAC-IND-00099,India,Kerala,Thiruvananthapuram,2025-11-04,2025-12-14,Typhoid,healthcare_workers,194203,156734,NHM,
VAC-IND-00100,India,Maharashtra,Nashik,31-07-2023,2023-09-25,COVID-19,elderly_60+,187753,82785,State Govt,
VAC-IND-00101,India, TAMIL NADU,Tiruchirappalli,17-04-2025,2025-06-02,MMR,children_0-5,165883,50454,,
VAC-IND-00102,India,Bihar,Purnia,2023-11-04,2023-12-14,Influenza,healthcare_workers,92203,69814,UNICEF,Single-day mega camp
VAC-IND-00103,India,Uttar Pradesh,Kanpur,2025-12-14,2026-01-28,MMR,elderly_60+,95351,,NHM,
VAC-IND-00104,India,Delhi,South Delhi,2023-06-08,2023-07-31,Hepatitis B,children_0-5,141997,144224,IAP,School-based campaign
VAC-IND-00105,India,Delhi,South Delhi,06-01-2024,2024-02-27,DTP,pregnant_women,43895,11642,NHM,Cold chain maintained
VAC-IND-00106,India,Gujarat,Surat,2025-12-29,2026-02-21,DTP,all_adults,51360,47655,Local Health Dept,Single-day mega camp
VAC-IND-00107,India,Karnataka,Belgaum,11-10-2023,2023-10-17,Polio,healthcare_workers,97811,33008,UNICEF,
VAC-IND-00108,India,Rajasthan, JODHPUR,2025-06-14,2025-07-01,COVID-19,all_adults,92141,72809,,Single-day mega camp
VAC-IND-00109,India,Uttar Pradesh,Kanpur,2023-02-27,2023-03-08,Influenza,children_0-5,170883,72461,Local Health Dept,
VAC-IND-00110,India,Delhi,East Delhi,2025-07-07,2025-09-05,Hepatitis B,school_children_5-15,67588,23315,,
VAC-IND-00111,India,Kerala,Thiruvananthapuram,2024-05-03,2024-06-25,Hepatitis B,healthcare_workers,16964,11581,WHO,Hospital-based
VAC-IND-00112,India,Tamil Nadu,Tiruchirappalli,2023-01-04,2023-01-22,Hepatitis B,pregnant_women,49603,15530,UNICEF,
VAC-IND-00113,India,Gujarat,Ahmedabad,2025-03-03 08:47:01,2025-03-28,Typhoid,healthcare_workers,90887,31764,IAP,Reported delay due to rains
VAC-IND-00114,India,Bihar,Gaya,2025-08-09 15:40:11,2025-10-02,COVID-19,pregnant_women,188206,157618,,Hospital-based
VAC-IND-00115,India,Uttar Pradesh,Varanasi,2025-11-21,2026-01-15,Influenza,pregnant_women,66904,55775,IAP,Mass camp at community centre
VAC-IND-00116,India,Uttar Pradesh,Varanasi,12-09-2023,2023-10-12, MMR,elderly_60+,195353,140426,State Govt,Reported delay due to rains
VAC-IND-00117,India,Rajasthan,Udaipur,19-06-2023,2023-06-27,COVID-19,children_0-5,47805,30611,IAP,
VAC-IND-00118,India,Odisha,Puri,2023-12-08,2024-01-02,Hepatitis B,all_adults,191030,130627,Local Health Dept,
VAC-IND-00119,India,Bihar,Muzaffarpur,2025-01-14,2025-03-05,Polio,all_adults,8663,6709,WHO,Hospital-based
VAC-IND-00120,India,Uttar Pradesh,Varanasi,2025-02-23 01:38:09,2025-04-10,Hepatitis B,elderly_60+,97746,29626,,Reported delay due to rains
VAC-IND-00121,India,Karnataka,Bengaluru,23-02-2023,2023-03-29,MMR,school_children_5-15,147739,131123,State Govt,Cold chain maintained
VAC-IND-00122,India,Gujarat,Surat,2023-09-09,2023-09-16,Typhoid,school_children_5-15,187505,60514,IAP,Door-to-door drive
VAC-IND-00123,India,Tamil Nadu,Madurai,19-11-2023,2024-01-05,Influenza,elderly_60+,95263,34959,NHM,
VAC-IND-00124,India,Assam,Silchar,15-08-2025,2025-09-22,Polio,school_children_5-15,23100,17666,State Govt,Single-day mega camp
VAC-IND-00125,India,Kerala,Kochi,2024-10-11,2024-11-11,Typhoid,healthcare_workers,136122,142299,Red Cross,
VAC-IND-00126,India,Maharashtra,Mumbai,2025-11-27,2025-12-10,MMR,children_0-5,186447,173314,Local Health Dept,
VAC-IND-00127,India,Tamil Nadu,Salem,2025-12-28,2026-02-10,Hepatitis B,school_children_5-15,152712,116883,IAP,Mass camp at community centre
VAC-IND-00128,India,Maharashtra,Mumbai,2023-04-04 18:16:41,2023-04-20,DTP,school_children_5-15,109705,25910,,
VAC-IND-00129,India,Bihar,Muzaffarpur,2024-09-01,2024-10-18,Influenza,pregnant_women,115739,84022,Red Cross,Reported delay due to rains
VAC-IND-00130,India,Uttar Pradesh,Agra,25-09-2023,2023-10-30,MMR,all_adults,84154,32889,NHM,
VAC-IND-00131,India,West Bengal,Bardhaman,2025-05-06,03/07/2025,Influenza,elderly_60+,86335,58255,State Govt,
VAC-IND-00132,India,Tamil Nadu,Tiruchirappalli,2023-02-17,2023-03-17,COVID-19,children_0-5,63605,35848,Local Health Dept,
VAC-IND-00133,India,Maharashtra,Mumbai,2025-06-01,2025-06-20,COVID-19,healthcare_workers,106210,73747,,
VAC-IND-00134,India,Rajasthan,Bikaner,26-07-2024,2024-09-06,DTP,pregnant_women,31645,9497,IAP,Reported delay due to rains
VAC-IND-00135,India,Karnataka,Belgaum,2025-11-08,2025-11-13,DTP,healthcare_workers,36423,33628,State Govt,
VAC-IND-00136,India,Assam,Silchar,2023-11-29,2024-01-10,Typhoid,healthcare_workers,78942,82282,,
VAC-IND-00137,India,Maharashtra,Nagpur,2024-11-09,2024-12-08,Hepatitis B,all_adults,190639,45112,Local Health Dept,Hospital-based
VAC-IND-00138,India,Assam,Jorhat,2023-12-16,2024-02-03,COVID-19,healthcare_workers,100164,51777,UNICEF,
VAC-IND-00139,India,Delhi,East Delhi,2024-02-22,2024-04-14,Polio,children_0-5,124128,121272,Red Cross,Reported delay due to rains
VAC-IND-00140,India,Gujarat,Bhavnagar,2025-02-10,2025-02-24,Polio,school_children_5-15,140256,74488,Local Health Dept,Hospital-based
VAC-IND-00141,India,Tamil Nadu,Salem,2024-09-03,2024-09-25,MMR,all_adults,185285,165246,IAP,
VAC-IND-00142,India,Assam,Tezpur,16-02-2025,2025-03-16,Polio,children_0-5,38897,26629,IAP,Cold chain maintained
VAC-IND-00143,India,Karnataka,Mysuru,2024-07-09 22:17:08,2024-07-18,Polio,healthcare_workers,154334,44173,NHM,
VAC-IND-00144,India,Uttar Pradesh,Agra,2023-07-25,2023-08-05,DTP,school_children_5-15,144771,49655,State Govt,Hospital-based
VAC-IND-00145,India,Tamil Nadu,Madurai,2024-08-07,2024-09-28,Polio,children_0-5,151005,127022,Red Cross,School-based campaign
VAC-IND-00146,India,Maharashtra,Nashik,2025-10-11,30/11/2025,MMR,healthcare_workers,76382,15883,UNICEF,
VAC-IND-00147,India,Bihar,Purnia,2025-12-09,2025-12-20,MMR,elderly_60+,123188,39401,State Govt,
VAC-IND-00148,India,Uttar Pradesh,Varanasi,2024-01-31,2024-03-28,MMR,children_0-5,106796,88897,Private Clinic,School-based campaign
VAC-IND-00149,India,Gujarat,Vadodara,2024-05-23,2024-06-19,MMR,healthcare_workers,198092,126027,WHO,Reported delay due to rains
VAC-IND-00150,India,Maharashtra,Mumbai,2025-08-11,2025-09-08,Polio,pregnant_women,184933,67765,IAP,Hospital-based
VAC-IND-00151,India,Gujarat,Surat,20-07-2025,2025-08-30, TYPHOID,healthcare_workers,184509,160325,NHM,Door-to-door drive
VAC-IND-00152,India,Rajasthan, UDAIPUR,2023-06-09 03:03:53,17/07/2023,Influenza,pregnant_women,53494,20518,,Hospital-based
VAC-IND-00153,India,Gujarat,Ahmedabad,2025-11-11,2025-11-17,COVID-19,healthcare_workers,135044,100920,State Govt,Cold chain maintained
VAC-IND-00154,India,West Bengal,Howrah,07-01-2023,2023-02-16,Hepatitis B,children_0-5,111569,30670,UNICEF,
VAC-IND-00155,India,West Bengal,Darjeeling,05-10-2023,2023-11-23,DTP,all_adults,110695,72271,,School-based campaign
VAC-IND-00156,India,Uttar Pradesh,Lucknow,2024-01-01 12:33:08,19/02/2024,DTP,school_children_5-15,1410,893,,Single-day mega camp
VAC-IND-00157,India,Karnataka,Hubli,2024-12-09,24/12/2024,Typhoid,school_children_5-15,190560,46557,Private Clinic,
VAC-IND-00158,India,Kerala,Thiruvananthapuram,2023-03-10,2023-04-25,DTP,all_adults,13260,3376,NHM,
VAC-IND-00159,India,Tamil Nadu,Coimbatore,2024-10-15,2024-12-06,Polio,healthcare_workers,84560,35689,NHM,
VAC-IND-00160,India,Assam,Dibrugarh,2025-05-24,30/05/2025,MMR,school_children_5-15,169141,171312,Private Clinic,
VAC-IND-00161,India,Rajasthan,Bikaner,08-05-2024,2024-05-30,COVID-19,healthcare_workers,38340,37642,Private Clinic,
VAC-IND-00162,India,Tamil Nadu,Coimbatore,2024-11-07,2024-12-08,COVID-19,pregnant_women,24738,11188,Private Clinic,Mass camp at community centre
VAC-IND-00163,India,Karnataka,Belgaum,2024-03-20,17/05/2024,Influenza,elderly_60+,79978,18004, UNICEF,
VAC-IND-00164,India,Odisha,Sambalpur,2024-02-23,2024-03-12, POLIO,pregnant_women,74702,49913,Local Health Dept,
VAC-IND-00165,India,Odisha,Puri,2024-10-17 11:20:26,2024-10-22,MMR,healthcare_workers,58505,12763,Private Clinic,
VAC-IND-00166,India,West Bengal,Bardhaman,2024-05-18,01/07/2024,Polio,school_children_5-15,88990,81842,State Govt,
VAC-IND-00167,India,Odisha,Sambalpur,2025-09-27,2025-11-25,COVID-19,children_0-5,168746,171097, WHO,
VAC-IND-00168,India,Bihar,Gaya,20-05-2023,2023-05-23,Polio,school_children_5-15,120040,104988,State Govt,
VAC-IND-00169,India,Rajasthan,Bikaner,2023-01-25,2023-03-15,Typhoid,school_children_5-15,75653,,Private Clinic,
VAC-IND-00170,India,Kerala,Thrissur,2023-11-01,2023-12-13,COVID-19,pregnant_women,93414,70704,Private Clinic,Hospital-based
VAC-IND-00171,India,Karnataka, MANGALORE,2023-06-15,2023-08-11,DTP,healthcare_workers,8805,4867,,Mass camp at community centre
VAC-IND-00172,India,Kerala,Kannur,2025-06-07,2025-07-01,Influenza,elderly_60+,25498,6493,State Govt,Door-to-door drive
VAC-IND-00173,India,Tamil Nadu,Salem,2023-03-09,2023-05-05,COVID-19,pregnant_women,54805,37063,Red Cross,Single-day mega camp
VAC-IND-00174,India,Rajasthan,Udaipur,25-02-2025,2025-03-08,Polio,pregnant_women,181198,167518,,Hospital-based
VAC-IND-00175,India,Uttar Pradesh,Meerut,2025-03-23 10:01:40,2025-04-12,Hepatitis B,all_adults,118609,70357,Private Clinic,
VAC-IND-00176,India,Assam,Silchar,19-05-2024,2024-05-27,Influenza,school_children_5-15,100114,103108,Private Clinic,
VAC-IND-00177,India, TAMIL NADU,Tiruchirappalli,07-01-2025,2025-01-16,Hepatitis B,healthcare_workers,49623,46426,,
VAC-IND-00178,India,Kerala,Thrissur,26-10-2024,2024-10-29,Influenza,healthcare_workers,102159,93770,,
VAC-IND-00179,India,Tamil Nadu,Madurai,2024-07-03,2024-07-10,Typhoid,children_0-5,72841,46302,IAP,Hospital-based
VAC-IND-00180,India,Gujarat,Bhavnagar,2024-02-05,2024-02-16,DTP,pregnant_women,104228,102134,State Govt,
VAC-IND-00181,India, ASSAM, DIBRUGARH,2025-09-08,06/10/2025,DTP,healthcare_workers,76901,56857,NHM,Cold chain maintained
VAC-IND-00182,India,West Bengal,Howrah,2023-08-22 06:37:34,2023-09-05,DTP,school_children_5-15,144705,124258,NHM,Cold chain maintained
VAC-IND-00183,India,Kerala,Kannur,2025-10-19,2025-11-10,Typhoid,all_adults,173164,145552,UNICEF,
VAC-IND-00184,India,Rajasthan,Alwar,2025-05-06,28/06/2025,Hepatitis B,school_children_5-15,184429,177631,,Hospital-based
VAC-IND-00185,India,Uttar Pradesh,Kanpur,2023-04-01,2023-05-15,Typhoid,all_adults,105257,64514,,
VAC-IND-00186,India,Odisha,Sambalpur,2024-03-28,2024-04-25,Influenza,pregnant_women,178641,166922,WHO,
VAC-IND-00187,India,Kerala,Thiruvananthapuram,2023-10-18,2023-11-11,DTP,children_0-5,54729,33771,State Govt,
VAC-IND-00188,India,Tamil Nadu,Chennai,2023-08-24,2023-09-17,Hepatitis B,elderly_60+,178008,99541,,Single-day mega camp
VAC-IND-00189,India,Karnataka,Hubli,2024-01-13,2024-02-27,DTP,healthcare_workers,8152,3246,Private Clinic,
VAC-IND-00190,India,Odisha,Bhubaneswar,28-07-2023,2023-09-03,MMR,school_children_5-15,85954,32126,State Govt,Reported delay due to rains
VAC-IND-00191,India,Assam,Jorhat,2023-08-22,2023-10-18, HEPATITIS B,healthcare_workers,45727,28638,UNICEF,
VAC-IND-00192,India,Tamil Nadu,Chennai,2024-01-10,2024-01-22,DTP,all_adults,110138,97367,Red Cross,School-based campaign
VAC-IND-00193,India,Gujarat, VADODARA,2023-10-15,2023-12-10,DTP,elderly_60+,14553,3067,NHM,
VAC-IND-00194,India,Gujarat,Rajkot,2025-06-28,2025-07-06,Influenza,healthcare_workers,58310,29674,Local Health Dept,
VAC-IND-00195,India,Gujarat,Bhavnagar,2025-11-12,2025-11-22,Hepatitis B,children_0-5,142872,76659,State Govt,
VAC-IND-00196,India,Bihar,Gaya,01-09-2024,2024-09-06,DTP,children_0-5,91877,29776,NHM,Reported delay due to rains
VAC-IND-00197,India,Assam,Jorhat,2023-12-06,2024-01-28,MMR,healthcare_workers,54748,48309,Local Health Dept,
VAC-IND-00198,India,Odisha,Rourkela,2024-08-15,2024-10-11,Typhoid,all_adults,178574,71257,WHO,School-based campaign
VAC-IND-00199,India,Delhi,South Delhi,27-10-2023,2023-12-22,Hepatitis B,school_children_5-15,177770,72823,Local Health Dept,
VAC-IND-00200,India,Bihar,Patna,2025-04-05,2025-04-25,MMR,healthcare_workers,97249,83417,WHO,Door-to-door drive
VAC-IND-00201,India,Gujarat, VADODARA,10-05-2023,2023-06-07,MMR,pregnant_women,113128,87468,Local Health Dept,School-based campaign
VAC-IND-00202,India,Gujarat,Vadodara,2023-04-10,2023-05-23,Typhoid,elderly_60+,120976,,State Govt,
VAC-IND-00203,India,Odisha,Cuttack,2024-09-10,2024-11-08,MMR,school_children_5-15,172096,56025,,Cold chain maintained
VAC-IND-00204,India,Karnataka,Hubli,06-07-2023,2023-07-09,Hepatitis B,school_children_5-15,20931,11597,,Reported delay due to rains
VAC-IND-00205,India,West Bengal,Darjeeling,2025-09-05,2025-10-02,MMR,elderly_60+,27350,17514,Private Clinic,School-based campaign
VAC-IND-00206,India,Bihar,Gaya,2023-05-21,2023-05-24,Polio,school_children_5-15,43522,22666,Red Cross,
VAC-IND-00207,India,Kerala,Thiruvananthapuram,14-10-2023,2023-11-23,Typhoid,elderly_60+,92652,59752,NHM,
VAC-IND-00208,India,Assam,Tezpur,06-08-2024,2024-09-22,Hepatitis B,healthcare_workers,173097,88475,,
VAC-IND-00209,India,Maharashtra,Pune,2025-10-10,2025-10-28,MMR,pregnant_women,156195,34402,Red Cross,
