outbreak_id,disease,report_date,country,state,district,cases_reported,deaths,severity,confirmed,source_url,notes
OUT-IND-00142,Hepatitis A,2024-07-02,India,Maharashtra,Nashik,1760,115,low,Unknown,https://news.example/142,Under investigation
OUT-IND-00143,Scrub Typhus,2024-04-15,India,Maharashtra,Thane,873,50,moderate,Unknown,https://news.example/143,Cluster in school
OUT-IND-00144,Dengue,09-01-2023,India,Tamil Nadu,Chennai,139,6,moderate,False,https://news.example/144,Spike after monsoon
OUT-IND-00145,Measles,2025-03-23,India,Uttar Pradesh,Agra,297,17,moderate,Unknown,https://news.example/145,Hospital admissions rising
OUT-IND-00146,COVID-19,2025-03-22,India,Uttar Pradesh,Kanpur,2365,,low,False,https://news.example/146,Hospital admissions rising
OUT-IND-00147,Dengue,2025-11-28,India,Rajasthan,Bikaner,4168,35,low,Unknown,,
OUT-IND-00148,Influenza,09-01-2023,India,Gujarat,Rajkot,3642,113,moderate,False,https://news.example/148,Reported by PHC
OUT-IND-00149,Dengue,2025-12-16,India,Maharashtra,Nashik,606,36,moderate,False,https://news.example/149,
OUT-IND-00150,Influenza,2024-07-02,India,Delhi,Central Delhi,706,51,low,Unknown,https://news.example/150,
OUT-IND-00151,Dengue,2024-09-12,India,Bihar,Purnia,3336,175,low,True,,Spike after monsoon
OUT-IND-00152,Scrub Typhus,2025-01-07,India,Karnataka,Mysuru,11,0,low,Unknown,https://news.example/152,
OUT-IND-00153,Scrub Typhus,01-03-2025,India,Uttar Pradesh,Kanpur,3913,233,low,False,,Under investigation
OUT-IND-00154,Kala-azar,2024-07-13,India,Odisha,Cuttack,1248,25,moderate,Unknown,https://news.example/154,
OUT-IND-00155,Influenza,11-11-2023,India,Bihar,Gaya,3179,169,low,Unknown,,
OUT-IND-00156,Hepatitis A,2025-03-10,India,Kerala,Kannur,274,11,low,Unknown,,Cluster in school
OUT-IND-00157,Kala-azar,31-08-2023,India,Assam,Dibrugarh,995,43,low,Unknown,https://news.example/157,Under investigation
OUT-IND-00158,Kala-azar,2024-09-11,India,Tamil Nadu,Tiruchirappalli,4855,305,low,True,https://news.example/158,Lab confirmed cases
OUT-IND-00159,Scrub Typhus,11-01-2023,India,Uttar Pradesh,Agra,1891,60,low,True,https://news.example/159,Spike after monsoon
OUT-IND-00160,Dengue,2023-11-06,India,West Bengal,Bardhaman,1034,7,low,Unknown,https://news.example/160,Hospital admissions rising
OUT-IND-00161,COVID-19,2023-08-16,India,Maharashtra,Mumbai,454,20,low,False,,Under investigation
OUT-IND-00162,Influenza,2025-11-19,India,Tamil Nadu,Salem,719,0,low,Unknown,https://news.example/162,Cluster in school
OUT-IND-00163,COVID-19,07-02-2025,India,Rajasthan,Udaipur,420,25,low,True,https://news.example/163,
OUT-IND-00164,Scrub Typhus,2025-12-19,India,Bihar,Bhagalpur,3820,125,moderate,False,https://news.example/164,Reported by PHC
OUT-IND-00165,Scrub Typhus,2023-10-11,India,Kerala,Thrissur,589,33,low,True,,Cluster in school
OUT-IND-00166,Influenza,2025-09-11,India,Tamil Nadu,Chennai,1830,39,low,False,https://news.example/166,Lab confirmed cases
OUT-IND-00167,Cholera,2024-01-23,India,West Bengal,Bardhaman,4993,211,moderate,False,https://news.example/167,
OUT-IND-00168,Measles,2024-04-12,India,Odisha,Sambalpur,2813,136,low,Unknown,https://news.example/168,Hospital admissions rising
OUT-IND-00169,Scrub Typhus,2024-05-07,India,West Bengal,Bardhaman,2131,159,low,True,https://news.example/169,
OUT-IND-00170,Scrub Typhus,2024-09-09,India,Tamil Nadu,Madurai,2281,63,moderate,Unknown,https://news.example/170,Lab confirmed cases
OUT-IND-00171,Hepatitis A,2023-08-26,India,Rajasthan,Jaipur,1824,109,low,Unknown,https://news.example/171,
OUT-IND-00172,Measles,2024-11-14,India,Gujarat,Ahmedabad,2849,168,moderate,True,https://news.example/172,Hospital admissions rising
OUT-IND-00173,Hepatitis A,2025-09-07 01:10:59,India,Gujarat,Bhavnagar,2920,176,low,Unknown,https://news.example/173,Hospital admissions rising
OUT-IND-00174,Dengue,2025-04-24,India,Delhi,Central Delhi,3251,11,low,True,https://news.example/174,
OUT-IND-00175,Kala-azar,2024-10-16,India,Delhi,West Delhi,4829,250,low,True,https://news.example/175,
OUT-IND-00176,Cholera,08-10-2024,India,Gujarat,Bhavnagar,553,41,moderate,False,https://news.example/176,Reported by PHC
OUT-IND-00177,Measles,2024-03-19 14:00:13,India,Kerala,Kannur,4323,181,low,Unknown,https://news.example/177,
OUT-IND-00178,Dengue,20-08-2024,India,Uttar Pradesh,Meerut,1314,3,moderate,Unknown,,Hospital admissions rising
OUT-IND-00179,Dengue,2023-10-27,India,Odisha,Sambalpur,1361,81,low,Unknown,https://news.example/179,Cluster in school
OUT-IND-00180,Measles,2025-12-10,India,Gujarat,Bhavnagar,1408,29,moderate,False,https://news.example/180,Reported by PHC
OUT-IND-00181,Cholera,2025-08-24,India,Delhi,Central Delhi,525,1,low,True,https://news.example/181,Reported by PHC
OUT-IND-00182,Kala-azar,2025-09-30,India,West Bengal,Darjeeling,3522,107,moderate,False,,Under investigation
OUT-IND-00183,COVID-19,2023-07-07,India,Uttar Pradesh,Varanasi,160,,low,True,,Spike after monsoon
OUT-IND-00184,Influenza,2023-09-21,India,Odisha,Cuttack,1417,6,low,False,,
OUT-IND-00185,Hepatitis A,11-11-2023,India,Uttar Pradesh,Lucknow,4334,97,moderate,Unknown,,
OUT-IND-00186,Scrub Typhus,2023-08-23 18:09:54,India,Uttar Pradesh,Kanpur,4590,310,low,False,https://news.example/186,
OUT-IND-00187,Cholera,23-08-2025,India,Assam,Jorhat,2504,,low,True,https://news.example/187,Reported by PHC
OUT-IND-00188,Dengue,2023-07-23,India,Maharashtra,Nashik,2162,1,low,Unknown,https://news.example/188,
OUT-IND-00189,Cholera,2023-07-14,India,Kerala,Kozhikode,2453,105,moderate,True,https://news.example/189,
OUT-IND-00190,Influenza,2023-01-13,India,Kerala,Kozhikode,149,6,moderate,Unknown,https://news.example/190,Lab confirmed cases
OUT-IND-00191,Kala-azar,29-11-2023,India,Kerala,Kozhikode,3052,62,moderate,True,https://news.example/191,Under investigation
OUT-IND-00192,Scrub Typhus,2024-01-31 20:28:40,India,Rajasthan,Alwar,2492,69,moderate,Unknown,https://news.example/192,Reported by PHC
OUT-IND-00193,Scrub Typhus,2024-02-11,India,Delhi,North Delhi,383,2,low,False,https://news.example/193,
OUT-IND-00194,Dengue,01-07-2025,India,Delhi,East Delhi,4524,205,low,True,https://news.example/194,Reported by PHC
OUT-IND-00195,COVID-19,2024-06-05 11:51:57,India,Karnataka,Bengaluru,4372,259,low,Unknown,https://news.example/195,Under investigation
OUT-IND-00196,Kala-azar,2024-03-26,India,Delhi,South Delhi,2691,196,low,Unknown,https://news.example/196,
OUT-IND-00197,Influenza,2025-06-26,India,Assam,Jorhat,4063,45,low,True,https://news.example/197,Under investigation
OUT-IND-00198,Kala-azar,2024-11-09,India,Maharashtra,Nagpur,1170,32,low,Unknown,,
OUT-IND-00199,Scrub Typhus,2025-08-09 01:51:48,India,Rajasthan,Alwar,894,21,low,True,,Lab confirmed cases
OUT-IND-00200,Influenza,2025-11-18,India,Maharashtra,Mumbai,3757,36,low,Unknown,https://news.example/200,Under investigation
OUT-IND-00201,Measles,2024-07-29,India,Maharashtra,Nashik,867,31,moderate,Unknown,https://news.example/201,Lab confirmed cases
OUT-IND-00202,Kala-azar,2024-11-03,India,Gujarat,Ahmedabad,399,14,low,Unknown,https://news.example/202,Under investigation
OUT-IND-00203,Hepatitis A,18-01-2025,India,Delhi,West Delhi,4595,262,low,Unknown,,Reported by PHC
OUT-IND-00204,COVID-19,15-04-2023,India,West Bengal,Darjeeling,4657,,low,True,https://news.example/204,Reported by PHC
OUT-IND-00205,Measles,2025-08-05,India,Tamil Nadu,Madurai,2070,79,low,True,https://news.example/205,Under investigation
OUT-IND-00206,Scrub Typhus,2023-10-05,India,Odisha,Puri,2813,59,low,False,https://news.example/206,
OUT-IND-00207,Hepatitis A,2024-05-25,India,Maharashtra,Nagpur,4223,312,low,Unknown,https://news.example/207,Under investigation
OUT-IND-00208,Cholera,2025-05-28,India,Assam,Tezpur,2575,193,low,Unknown,https://news.example/208,Hospital admissions rising
OUT-IND-00209,Cholera,2025-12-13,India,West Bengal,Siliguri,1787,9,low,Unknown,,Hospital admissions rising
OUT-IND-00210,Measles,2025-08-11 03:56:58,India,Bihar,Muzaffarpur,1584,3,moderate,True,https://news.example/210,
OUT-IND-00211,Measles,09-02-2024,India,Delhi,South Delhi,4105,6,low,True,https://news.example/211,Under investigation
OUT-IND-00212,Hepatitis A,30-03-2023,India,Rajasthan,Udaipur,1837,35,high,Unknown,https://news.example/212,
OUT-IND-00213,Influenza,08-11-2024,India,Karnataka,Mangalore,2333,39,low,Unknown,,Cluster in school
OUT-IND-00214,Kala-azar,2025-09-24,India,Tamil Nadu,Tiruchirappalli,3473,168,moderate,Unknown,,
OUT-IND-00215,Kala-azar,2023-03-27 04:02:02,India,Odisha,Puri,3368,128,low,False,https://news.example/215,Reported by PHC
OUT-IND-00216,Measles,20-08-2025,India,Assam,Silchar,911,13,low,True,https://news.example/216,
OUT-IND-00217,Dengue,2025-05-07,India,Gujarat,Ahmedabad,3585,52,high,True,https://news.example/217,Under investigation
OUT-IND-00218,Kala-azar,2024-08-29,India,Uttar Pradesh,Agra,4567,127,moderate,False,https://news.example/218,Reported by PHC
OUT-IND-00219,COVID-19,2023-04-15,India,Assam,Silchar,3342,170,low,False,https://news.example/219,Under investigation
OUT-IND-00220,Measles,2023-10-08,India,Karnataka,Mysuru,1571,76,low,Unknown,https://news.example/220,
OUT-IND-00221,Dengue,2025-03-30,India,Odisha,Cuttack,1165,54,moderate,Unknown,,
OUT-IND-00222,Kala-azar,2025-02-06 21:01:25,India,Assam,Jorhat,854,4,low,False,,
OUT-IND-00223,Measles,2023-12-20,India,Bihar,Patna,1698,53,low,Unknown,,Hospital admissions rising
OUT-IND-00224,Cholera,09-01-2024,India,Kerala,Kannur,4516,351,low,Unknown,https://news.example/224,Under investigation
OUT-IND-00225,Cholera,2023-11-19,India,Odisha,Sambalpur,3096,156,low,True,https://news.example/225,
OUT-IND-00226,COVID-19,2025-05-05,India,Delhi,South Delhi,456,8,moderate,Unknown,,Hospital admissions rising
OUT-IND-00227,Dengue,2023-04-21,India,Delhi,East Delhi,4585,277,low,False,https://news.example/227,Under investigation
OUT-IND-00228,COVID-19,2023-11-05,India,West Bengal,Darjeeling,4248,13,high,True,https://news.example/228,Under investigation
OUT-IND-00229,Dengue,2025-05-08,India,Tamil Nadu,Tiruchirappalli,4749,379,moderate,False,https://news.example/229,Under investigation
